nom	age	profession	etiquette	binome	annee_election	mois_election	secteur	titre	commission_1	commission_2	commission_3	mandat_1	mandat_2	url
François André	49	Fonctionnaire de catégorie A	Majorité départementale	Véra Briand	2008	3	Canton de Rennes 6	Conseiller départemental délégué à la maison départementale des personnes handicapées (MDPH)	Commission 3 : Solidarités	Commission permanente		Député		http://www.illeetvilaine.fr/fr/content/francois-andre-0
Gaëlle Andro	41	Fonctionnaire de catégorie A	Majorité départementale	Marcel Rogemont	2008	3	Canton de Rennes 5	Conseillère départementale déléguée aux fonds européens	Commission 1 : Développement équilibré des territoires	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	1ère Vice-présidente de Rennes Métropole	Conseillère municipale de Rennes	http://www.illeetvilaine.fr/fr/content/gaelle-andro-0
Nicolas Belloir	46	Permanent politique	Union de la Droite et du Centre (UDC)	Sophie Guyon	2015	3	Canton de Saint-Malo 2		Commission 1 : Développement équilibré des territoires	Commission permanente		Conseiller municipal de Saint-Malo		http://www.illeetvilaine.fr/fr/content/nicolas-belloir
Thierry Benoit	50	Représentant de commerce	Union de la Droite et du Centre (UDC)	Frédérique Miramont	2008	3	Canton de Fougères-1		Commission 3 : Solidarités	Commission permanente		Député	Président du Pays de Fougères	http://www.illeetvilaine.fr/fr/content/thierry-benoit-0
Isabelle Biard	53	Cadre supérieur (secteur privé)	Union de la Droite et du Centre (UDC)	Louis Pautrel	2015	3	Canton de Fougères-2		Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Conseillère municipale de Fougères		http://www.illeetvilaine.fr/fr/content/isabelle-biard
Armelle Billard	50	Cadre supérieur (secteur privé)	Majorité départementale	Jean-Luc Chenut	2015	3	Canton de Le Rheu	Conseillère départementale déléguée à l'égalité Hommes/Femmes	Commission 2 : Egalité des chances	Commission permanente		Conseillère municipale de Mordelles		http://www.illeetvilaine.fr/fr/content/armelle-billard
Damien Bongart	38	Fonctionnaire de catégorie A	Majorité départementale	Catherine Debroise	2015	3	Canton de Rennes 2	Vice-président délégué aux usages du numérique, au Très Haut Débit, aux moyens informatiques des services, à l’open data, aux observatoires et à la géographie numériques	Commission 1 : Développement équilibré des territoires	Commission permanente				http://www.illeetvilaine.fr/fr/content/damien-bongart
Philippe Bonnin	62	Cadre d'entreprise		Sandrine Rol	2004	3	Canton de Bruz		Commission 2 : Egalité des chances	Commission permanente		Maire de Chartres de Bretagne		http://www.illeetvilaine.fr/fr/content/philippe-bonnin-0
Frédéric Bourcier	50	Administrateur de sociétés	Majorité départementale	Béatrice Hakni-Robin	2011	3	Canton de Rennes 3	Vice-président en charge du sport	Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Adjoint au maire de Rennes		http://www.illeetvilaine.fr/fr/content/frederic-bourcier
Jean-Luc Bourgeaux	53	Agriculteur-propriétaire exploitant	Union de la Droite et du Centre (UDC)	Agnès Toutant	2008	3	Canton de Dol-de-Bretagne		Commission 1 : Développement équilibré des territoires	Commission permanente		Maire de Cherrueix	Vice-président de la communauté de communes du pays de Dol-de-Bretagne et de la Baie du Mont-Saint-Michel	http://www.illeetvilaine.fr/fr/content/jean-luc-bourgeaux-0
Véra Briand	61	Autre cadre (secteur privé)	Majorité départementale	François André	2015	3	Canton de Rennes 6	Vice-présidente en charge de la protection de l’enfance	Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Adjointe au maire de Rennes		http://www.illeetvilaine.fr/fr/content/vera-briand
Jean-Luc Chenut	56	Fonctionnaire de catégorie A	Majorité départementale	Armelle Billard	2015	3	Canton de Le Rheu	Président du Conseil départemental d'Ille-et-Vilaine						http://www.illeetvilaine.fr/fr/content/jean-luc-chenut-0
Muriel Condolf-Férec	47	Fonctionnaire de catégorie A	Majorité départementale	Didier Le Bougeant	2015	3	Canton de Rennes 4	Conseillère départementale déléguée à la petite enfance et la protection maternelle et infantile (PMI)	Commission 2 : Egalité des chances	Commission permanente				http://www.illeetvilaine.fr/fr/content/muriel-condolf-ferec
Ludovic Coulombel	41	Assistant parlementaire	Majorité départementale	Gaëlle Mestries	2015	3	Canton de Melesse	Conseiller départemental délégué au littoral et à la baie du Mont-Saint-Michel	Commission 3 : Solidarités	Commission permanente		Conseiller municipal de Saint-Gilles		http://www.illeetvilaine.fr/fr/content/ludovic-coulombel
Anne-Françoise Courteille	52	Cadre (entreprises publiques)	Majorité départementale	Christophe Martins	2015	3	Canton de Montfort-sur-Meu	Vice-présidente en charge des solidarités, des personnes âgées et du handicap	Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente			http://www.illeetvilaine.fr/fr/content/anne-francoise-courteille
Isabelle Courtigné	40	Sans profession déclarée	Majorité départementale	Bernard Marquet	2015	3	Canton de Liffré	Conseillère départementale déléguée à la promotion des territoires ruraux et aux aménagements fonciers	Commission 1 : Développement équilibré des territoires	Commission permanente		Adjointe au maire de Dourdain	Vice-présidente de la communauté de communes du pays de Liffré	http://www.illeetvilaine.fr/fr/content/isabelle-courtigne
Marie Daugan	68	Retraitée gérante de société	Union de la Droite et du Centre (UDC)	Pierre Guitton	1994	3	Canton de Montauban-de-Bretagne		Commission 1 : Développement équilibré des territoires	Commission permanente				http://www.illeetvilaine.fr/fr/content/marie-daugan
Jacques Daviau	60	Fonctionnaire de catégorie C	Majorité départementale	Françoise Sourdrille	2015	3	Canton de Janzé	Conseiller départemental délégué à la prévention du vieillissement	Commission 3 : Solidarités	Commission permanente		Adjoint au maire de Vern-sur-Seiche		http://www.illeetvilaine.fr/fr/content/jacques-daviau
Claudine David	52	Ingénieur	Majorité départementale	Michel Gautier	2015	3	Canton de Betton	Vice-présidente en charge de la citoyenneté, de la démocratie participative et des relations avec le monde combattant	Commission 2 : Egalité des chances	Commission permanente		Conseillère municipale de Cesson-Sévigné		http://www.illeetvilaine.fr/fr/content/claudine-david
Aymar de Gouvion Saint Cyr	40	Employé (secteur privé)	Union de la Droite et du Centre (UDC)	Laëtitia Meignan	2015	3	Canton d'Antrain		Commission 1 : Développement équilibré des territoires	Commission permanente		Maire de Coglès		http://www.illeetvilaine.fr/fr/content/aymar-gouvion-saint-cyr
Aude de la Vergne	43	Profession rattachée à l'enseignement	Union de la Droite et du Centre (UDC)	Louis Hubert	2015	3	Canton de Châteaugiron		Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Adjointe au maire de Châteaubourg	Conseillère communautaire de Vitré Communauté	http://www.illeetvilaine.fr/fr/content/aude-vergne
Catherine Debroise	59	Employé (secteur privé)	Majorité départementale	Damien Bongart	2015	3	Canton de Rennes 2	Vice-présidente en charge de l'insertion	Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Conseillère municipale de Rennes		http://www.illeetvilaine.fr/fr/content/catherine-debroise
Nadine Dréan	52	Employé (secteur privé)	Union de la Droite et du Centre (UDC)	Yvon Mellet	2015	3	Canton de Bain-de-Bretagne		Commission 1 : Développement équilibré des territoires	Commission permanente		Adjointe au maire de Grand-Fougeray	vice-présidente du pays du Grand-Fougeray	http://www.illeetvilaine.fr/fr/content/nadine-drean
Béatrice Duguépéroux-Honoré	45	Cadre administratif (industrie électronique)	Majorité départementale	André Lefeuvre	2015	3	Canton de Combourg	Conseillère départementale déléguée à la lecture publique et aux Archives départementales	Commission 2 : Egalité des chances	Commission permanente		Maire de Lourmais		http://www.illeetvilaine.fr/fr/content/beatrice-dugueperoux-honore
Michel Gautier	62	Conseiller technique	Majorité départementale	Claudine David	2002	10	Canton de Betton	Conseiller départemental délégué à la communication et aux relations publiques	Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire de Betton	Vice-président de Rennes Métropole	http://www.illeetvilaine.fr/fr/content/michel-gautier-0
Pierre Guitton	62	Retraité salarié privé	Union de la Droite et du Centre (UDC)	Marie Daugan	2015	3	Canton de Montauban-de-Bretagne		Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire de Saint-Méen-le-Grand	Conseiller communautaire de la Communauté de communes de Saint-Méen Montauban	http://www.illeetvilaine.fr/fr/content/pierre-guitton
Sophie Guyon	57	Retraité fonction publique	Union de la Droite et du Centre (UDC)	Nicolas Belloir	2015	3	Canton de Saint-Malo 2		Commission 2 : Egalité des chances	Commission permanente		Conseillère municipale de Saint-Lunaire		http://www.illeetvilaine.fr/fr/content/sophie-guyon
Béatrice Hakni-Robin	43	Fonctionnaire de catégorie A	Majorité départementale	Frédéric Bourcier	2015	3	Canton de Rennes 3	Vice-présidente en charge du personnel et  des moyens des services	Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente			http://www.illeetvilaine.fr/fr/content/beatrice-hakni-robin
Marc Hervé	33	Fonctionnaire de catégorie A	Majorité départementale	Emmanuelle Rousset	2011	3	Canton de Rennes 1	Conseiller départemental délégué à l'eau et aux espaces naturels sensibles (ENS)	Commission 1 : Développement équilibré des territoires	Commission permanente		Adjoint au maire de Rennes		http://www.illeetvilaine.fr/fr/content/marc-herve
Louis Hubert	68	Cadre de banque	Union de la Droite et du Centre (UDC)	Aude de la Vergne	2001	3	Canton de Châteaugiron		Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Adjoint au Maire de Noyal-sur-Vilaine		http://www.illeetvilaine.fr/fr/content/louis-hubert-0
Didier Le Bougeant	50	Professeur du secondaire et technnique	Majorité départementale	Muriel Condolf-Férec	2008	3	Canton de Rennes 4	Conseiller départemental délégué à la solidarité et aux coopérations internationales	Commission 3 : Solidarités	Commission permanente		Adjoint au maire de Rennes		http://www.illeetvilaine.fr/fr/content/didier-bougeant-0
Isabelle Le Callennec	49	Cadre supérieur (secteur privé)	Union de la Droite et du Centre (UDC)	Thierry Travers	2008	3	Canton de Vitré		Commission 2 : Egalité des chances	Commission permanente		Députée		http://www.illeetvilaine.fr/fr/content/isabelle-callennec
Anne Le Gagne	47	Médecin	Union de la Droite et du Centre (UDC)	Pierre-Yves Mahieu	2015	3	Canton de Saint-Malo 1		Commission 3 : Solidarités	Commission permanente		Conseillère municipale de Saint-Malo		http://www.illeetvilaine.fr/fr/content/anne-gagne
André Lefeuvre	68	Industriel-Chef entreprise	Majorité départementale	Béatrice Duguépéroux-Honoré	1994	3	Canton de Combourg	Vice-président délégué aux grands projets routiers, à la gestion, l’exploitation et la sécurité des routes, au Conseil en Architecture et en Urbanisme d’Ille-et-Vilaine (CAU 35) et à l’ingénierie publique	Commission 1 : Développement équilibré des territoires	Commission permanente		Président de la communauté de communes du Pays de la Bretagne Romantique	Conseiller municipal de Pleugueneuc	http://www.illeetvilaine.fr/fr/content/andre-lefeuvre-0
Pierre-Yves Mahieu	56	Directeur de la Chambre d'agriculture d'Ille-et-Vilaine de 2004 à 2014	Union de la Droite et du Centre (UDC)	Anne Le Gagne	2015	3	Canton de Saint-Malo 1		Commission 1 : Développement équilibré des territoires	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire de Cancale	Vice-président du Pays de Saint-Malo	http://www.illeetvilaine.fr/fr/content/pierre-yves-mahieu
Bernard Marquet	61	Cadre supérieur (secteur privé)	Majorité départementale	Isabelle Courtigné	2011	3	Canton de Liffré	Vice-président en charge de l'économie, l'agriculture, de l'innovation, du développement durable et des contrats départementaux de territoire	Commission 1 : Développement équilibré des territoires	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Conseiller municipal d'Acigné		http://www.illeetvilaine.fr/fr/content/bernard-marquet-0
Christophe Martins	46	Fonctionnaire de catégorie A	Majorité départementale	Anne-Françoise Courteille	2008	3	Canton de Montfort-sur-Meu		Commission 1 : Développement équilibré des territoires	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire d'Iffendic	Président de Montfort communauté	http://www.illeetvilaine.fr/fr/content/christophe-martins
Aymeric Massiet du Biest	37	Chargé de mission Développement territorial et Action sociale	Union de la Droite et du Centre (UDC)	Monique Sockath	2015	3	La Guerche de Bretagne		Commission 3 : Solidarités	Commission permanente		Adjoint au Maire à La Guerche-de-Bretagne	Conseiller communautaire de Vitré Communauté	http://www.illeetvilaine.fr/fr/content/aymeric-massiet-du-biest
Laëtitia Meignan	31	Fonctionnaire de catégorie C	Union de la Droite et du Centre (UDC)	Aymar de Gouvion Saint Cyr	2015	3	Canton d'Antrain		Commission 2 : Egalité des chances	Commission permanente		Adjointe au Maire à Saint-Rémy-du-Plain		http://www.illeetvilaine.fr/fr/content/laetitia-meignan
Yvon Mellet	62	Retraité fonction publique	Union de la Droite et du Centre (UDC)	Nadine Dréan	2011	3	Canton de Bain-de-Bretagne		Commission 1 : Développement équilibré des territoires	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire du Teillay	Président de la communauté de communes du Pays de Moyenne Vilaine et Semnon	http://www.illeetvilaine.fr/fr/content/yvon-mellet-0
Gaëlle Mestries	49		Majorité départementale	Ludovic Coulombel	2015	3	Canton de Melesse	Conseillère départementale déléguée à l'éducation populaire	Commission 2 : Egalité des chances	Commission permanente		Adjointe au maire de Melesse		http://www.illeetvilaine.fr/fr/content/gaelle-mestries
Solène Michenot	37	Autre cadre (secteur privé)	Majorité départementale	Franck Pichot	2015	3	Canton de Redon	Conseillère départementale déléguée au tourisme	Commission 1 : Développement équilibré des territoires	Commission permanente				http://www.illeetvilaine.fr/fr/content/solene-michenot
Frédérique Miramont	41	Cadre supérieur (secteur privé)	Union de la Droite et du Centre (UDC)	Thierry Benoit	2015	3	Canton de Fougères-1		Commission 3 : Solidarités	Commission permanente				http://www.illeetvilaine.fr/fr/content/frederique-miramont
Roger Morazin	63	Retraité de l'enseignement	Majorité départementale	Michèle Motel	2015	3	Canton de Guichen	Conseiller départemental délégué au déplacement doux, aux liaisons cyclables et à l’éducation à l’environnement	Commission 1 : Développement équilibré des territoires	Commission permanente		Maire de la Chapelle-Bouëxic		http://www.illeetvilaine.fr/fr/content/roger-morazin
Michèle Motel	44	Fonctionnaire de catégorie B		Roger Morazin	2015	3	Canton de Guichen		Commission 2 : Egalité des chances	Commission permanente		Vice-présidente de Vallons de Haute-Bretagne communauté		http://www.illeetvilaine.fr/fr/content/michele-motel
Louis Pautrel	49	Autre cadre (secteur privé)	Union de la Droite et du Centre (UDC)	Isabelle Biard	2011	3	Canton de Fougères-2		Commission 1 : Développement équilibré des territoires	Commission permanente		Maire du Ferré	Président de Louvigné communauté	http://www.illeetvilaine.fr/fr/content/louis-pautrel-0
Franck Pichot	42	Cadre supérieur (secteur privé)	Majorité départementale	Solène Michenot	2011	3	Canton de Redon	Vice-président en charge de l'éducation et de la jeunesse	Commission 2 : Egalité des chances	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Conseiller muncipal de Pipriac		http://www.illeetvilaine.fr/fr/content/franck-pichot
Marcel Rogemont	68	Cadre supérieur (secteur privé)	Majorité départementale	Gaëlle Andro	1994	3	Canton de Rennes 5	Conseiller départemental délégué à l'habitat	Commission 3 : Solidarités	Commission permanente				http://www.illeetvilaine.fr/fr/content/marcel-rogemont-0
Sandrine Rol	41	Autre cadre (secteur privé)	Majorité départementale	Philippe Bonnin	2015	3	Canton de Bruz	Conseillère départementale déléguée à l'environnement et à l'Agenda 21	Commission 1 : Développement équilibré des territoires	Commission permanente				http://www.illeetvilaine.fr/fr/content/sandrine-rol
Emmanuelle Rousset	43	Autre cadre (secteur privé)	Majorité départementale	Marc Hervé	2015	3	Canton de Rennes 1	Vice-présidente déléguée à la Politique de la Ville, à l’économie sociale et solidaire et au développement social local	Commission 1 : Développement équilibré des territoires	Commission permanente		Adjointe au maire de Rennes		http://www.illeetvilaine.fr/fr/content/emmanuelle-rousset
Monique Sockath	57	Enseignant 1er degré - directeur d'école	Union de la Droite et du Centre (UDC)	Aymeric Massiet du Biest	2013	3	La Guerche de Bretagne		Commission 2 : Egalité des chances	Commission permanente		Conseillère municipale d’Argentré-du-Plessis		http://www.illeetvilaine.fr/fr/content/monique-sockath-0
Françoise Sourdrille	57	Commerçant	Majorité départementale	Jacques Daviau	2015	3	Canton de Janzé	Vice-présidente en charge de la culture	Commission 2 : Egalité des chances	Commission permanente		Adjointe au maire de Janzé	Vice-présidente de la communauté de communes du pays de la Roche-aux-Fée	http://www.illeetvilaine.fr/fr/content/francoise-sourdrille
Agnès Toutant	42	Industriel-Chef entreprise	Union de la Droite et du Centre (UDC)	Jean-Luc Bourgeaux	2015	3	Dol-de-Bretagne		Commission 3 : Solidarités	Commission permanente		Adjointe au maire de Miniac-Morvan		http://www.illeetvilaine.fr/fr/content/agnes-toutant
Thierry Travers	51	Dessinateur industriel	Union de la Droite et du Centre (UDC)	Isabelle Le Callennec	2011	3	Canton de Vitré		Commission 3 : Solidarités	Commission 4 : Ressources humaines, finances, sécurité, moyens généraux	Commission permanente	Maire de Val d'Izé	Vice-président de Vitré Communauté	http://www.illeetvilaine.fr/fr/content/thierry-travers-0
